B, [b]
Z, [z]
T, [t]
A, [a]
Á, [aː]
Ź, [ʒ]
Ŧ, [ʈ]
I, [ɪ]
P, [p]
Ģ, [ɣ]
R, [r]
U, [ʊ]
Í, [iː]
F, [f]
Ŕ, [ɽ]
Ń, [ɳ]
S, [s]
Ú, [uː]
D, [d]
Ļ, [ɬ]
Y, [j]
M, [m]
O, [oː]
Ş, [ʃ]
N, [n]
Đ, [ɖ]
V, [v]
L, [l]
H, [h]
X, [x]
G, [g]
J, [dʒ]
E, [eː]
C, [tʃ]
K, [k]
Bráhuí, [x]
ص, [s]
ل, [l]
ح, [h]
ش, [ʃ]
گ, [g]
ء, [ʔ]
چ, [tʃ]
س, [s]
ک, [k]
ے, [eː]
ج, [dʒ]
ژ, [ʒ]
ق, [k]
ى, [j/iː]
ث, [s]
ز, [z]
ف, [f]
ه, [h]
ُو, [uː]
ٹ, [ʈ]
ڑ, [ɽ]
غ, [ɣ]
و, [v/uː/oː]
ُ, [ʊ]
ت, [t]
ر, [r]
ع, [ʔ]
ں, [ɳ]
ِى, [iː]
پ, [p]
ذ, [z]
ظ, [z]
ن, [n]
ِ, [ɪ]
ب, [b]
ڈ, [ɖ]
ط, [t]
م, [m]
َا, [aː]
